district,percent households receiving food stamps,state,household language not english,percent uninsured,non-white,black/afroamerican,percent female,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,percent owner-occupied housing units,average family size,native,foreign born,percent of tot. population in poverty,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,median earnings,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,less than highschool,highschool,college or associate,bachelor or higher,office,year,target
5,25.5,arkansas,1.4,7.5,0.5821925867817219,0.563836046283585,0.5324,24.24,16.98,15.1,23.23,20.45,44.6,53.66,38.52,7.06,0.75,473.0,66.9,3.15,0.9894,0.0106,31.7,0.2826,0.4186,0.1827,0.1162,26160,0.2407,0.2056,0.1611,0.3926,0.1555,0.4525,0.2731,0.1188,state house,2020,1
6,6.4,arkansas,2.5,4.4,0.2646306818181818,0.2391690340909091,0.5415,25.23,17.99,17.45,19.61,19.72,41.0,37.23,39.32,20.81,2.64,640.0,78.8,3.03,0.9873,0.0127,13.8,0.1989,0.3838,0.21,0.2073,35046,0.3863,0.1278,0.216,0.2699,0.1247,0.3376,0.3261,0.2116,state house,2020,0
7,14.9,arkansas,5.8,9.2,0.42380183091007,0.3973382567889837,0.5069,25.1,17.58,17.92,21.81,17.58,43.2,45.0,38.98,13.76,2.25,558.0,73.7,3.07,0.9642,0.0358,22.5,0.251,0.3648,0.2017,0.1825,30734,0.2989,0.1943,0.1812,0.3256,0.1391,0.3904,0.3077,0.1628,state house,2020,0
8,16.9,arkansas,6.8,7.4,0.3412124787963714,0.299874622022273,0.5348,26.31,15.85,17.75,19.52,20.57,40.8,49.91,35.53,14.08,0.48,501.0,71.1,3.15,0.9549,0.0451,14.9,0.2448,0.4375,0.2098,0.1079,31559,0.2687,0.1861,0.1546,0.3906,0.1527,0.4576,0.2824,0.1072,state house,2020,0
9,16.1,arkansas,4.4,6.3,0.3041643019296254,0.2789798524404086,0.5261,26.9,19.68,17.33,18.81,17.28,38.8,42.82,42.77,13.05,1.36,564.0,67.9,3.14,0.9824,0.0176,19.3,0.1952,0.3997,0.2531,0.152,32701,0.2984,0.1677,0.1988,0.335,0.1463,0.3899,0.3019,0.1618,state house,2020,0
10,10.8,arkansas,2.1,5.4,0.1291952222439788,0.1008811435284903,0.5382,22.64,16.6,17.55,20.72,22.48,45.1,41.93,36.16,20.1,1.81,589.0,82.8,2.89,0.9913,0.0087,12.9,0.2241,0.3458,0.2413,0.1888,36388,0.309,0.1379,0.1979,0.3552,0.1009,0.4602,0.2776,0.1613,state house,2020,0
11,20.6,arkansas,6.5,9.0,0.5212458990473932,0.4860271156962726,0.5284,26.69,15.9,16.47,20.94,20.0,42.4,50.41,38.68,9.79,1.12,497.0,66.1,3.0,0.9591,0.0409,25.7,0.263,0.4857,0.1377,0.1137,27903,0.2822,0.1887,0.196,0.3331,0.1899,0.4296,0.2544,0.1261,state house,2020,0
12,27.8,arkansas,2.2,7.2,0.5737557913615304,0.5519354356598416,0.4298,22.12,21.21,19.54,20.14,17.0,39.4,45.91,39.17,14.35,0.58,534.0,51.6,3.07,0.989,0.011,28.9,0.218,0.4649,0.2217,0.0954,31309,0.2847,0.1796,0.2117,0.324,0.2097,0.3714,0.3019,0.117,state house,2020,0
13,14.7,arkansas,1.7,7.4,0.2306007737791079,0.1883714139718227,0.5226,24.94,16.34,18.65,20.58,19.49,42.0,40.18,39.85,18.93,1.04,618.0,70.4,2.89,0.9907,0.0093,13.6,0.1952,0.4738,0.1919,0.1391,32819,0.3037,0.1496,0.2181,0.3286,0.1414,0.4294,0.2869,0.1423,state house,2020,0
14,11.7,arkansas,3.1,6.8,0.2896066945606694,0.2417405857740585,0.4681,21.66,19.79,18.87,21.54,18.14,42.2,33.27,40.23,23.6,2.9,663.0,75.0,3.14,0.9844,0.0156,14.6,0.1739,0.4555,0.2274,0.1431,32084,0.2966,0.1467,0.2619,0.2948,0.1543,0.4554,0.2437,0.1465,state house,2020,0
15,10.0,arkansas,3.9,4.8,0.0923362002657156,0.0448570030067827,0.5053,25.81,16.48,17.96,21.28,18.47,41.8,38.72,34.91,23.28,3.09,613.0,78.2,3.12,0.979,0.021,11.5,0.1172,0.4093,0.2645,0.2089,37476,0.3524,0.1732,0.2025,0.2719,0.1068,0.396,0.3048,0.1924,state house,2020,0
16,17.0,arkansas,3.8,5.4,0.6677272903651391,0.6074657560824183,0.5786,24.88,17.2,14.48,21.44,22.0,42.7,34.35,45.97,18.31,1.37,695.0,63.5,3.01,0.9719,0.0281,20.4,0.2233,0.434,0.2465,0.0963,32318,0.3269,0.2037,0.2146,0.2548,0.1063,0.3679,0.3082,0.2176,state house,2020,1
17,24.2,arkansas,3.9,7.5,0.8153107321639331,0.7781124089373652,0.4975,27.83,23.17,18.76,18.71,11.53,34.5,38.58,50.97,10.44,0.01,588.0,46.9,2.92,0.987,0.013,28.3,0.2981,0.4865,0.1395,0.076,22689,0.2387,0.2484,0.1185,0.3943,0.1538,0.393,0.3427,0.1105,state house,2020,1
18,11.8,arkansas,3.7,8.4,0.2429988127662546,0.1918430057964941,0.5288,24.39,22.73,15.06,18.47,19.36,37.8,40.05,39.97,17.09,2.89,597.0,67.0,2.91,0.9804,0.0196,17.1,0.2432,0.4294,0.2047,0.1227,23972,0.2889,0.2282,0.2237,0.2592,0.0966,0.3078,0.4121,0.1835,state house,2020,0
19,13.4,arkansas,10.2,9.6,0.2329560119464621,0.1332546735002396,0.5203,26.38,16.54,18.94,19.81,18.32,40.7,46.8,38.34,13.21,1.65,532.0,71.7,3.12,0.9335,0.0665,19.0,0.3038,0.4031,0.1641,0.129,25451,0.2686,0.1613,0.1683,0.4019,0.1425,0.3897,0.3119,0.1559,state house,2020,0
20,13.3,arkansas,5.5,10.6,0.0930081065431383,0.0036913723219455,0.514,23.15,15.17,16.13,20.91,24.63,45.9,49.34,33.96,15.09,1.61,508.0,78.0,2.89,0.9583,0.0417,20.3,0.3217,0.4081,0.1578,0.1123,25318,0.3002,0.1611,0.2005,0.3383,0.1582,0.37,0.3305,0.1414,state house,2020,0
21,12.3,arkansas,3.7,7.6,0.1031547136433994,0.0123829881329697,0.4943,24.31,15.75,17.02,23.72,19.2,44.1,45.98,35.87,14.42,3.74,543.0,78.5,3.03,0.9752,0.0248,15.7,0.2465,0.4401,0.2094,0.104,29527,0.3229,0.1858,0.1694,0.3219,0.1687,0.3753,0.3113,0.1446,state house,2020,0
22,8.8,arkansas,3.1,6.7,0.0638964088848299,0.0255063765941485,0.507,17.11,13.18,13.53,19.03,37.15,55.5,34.95,35.91,24.59,4.55,706.0,78.2,2.72,0.9763,0.0237,15.7,0.2947,0.4118,0.1738,0.1197,24748,0.3032,0.1912,0.2514,0.2542,0.0823,0.2825,0.365,0.2703,state house,2020,0
23,6.3,arkansas,5.0,4.6,0.0968230386835038,0.0412833552368436,0.5182,25.03,17.8,19.3,19.75,18.12,40.4,19.48,41.17,29.84,9.51,885.0,70.6,3.11,0.9663,0.0337,8.8,0.133,0.3536,0.2665,0.2469,41565,0.406,0.1497,0.2628,0.1815,0.075,0.2837,0.3449,0.2964,state house,2020,0
24,7.5,arkansas,9.2,11.4,0.1653401089818159,0.0818282005755219,0.5517,24.62,16.8,17.49,18.04,23.04,40.3,24.29,44.45,26.64,4.62,822.0,65.4,2.96,0.9312,0.0688,12.4,0.2948,0.356,0.1999,0.1493,26680,0.3212,0.2387,0.2622,0.1779,0.1026,0.3083,0.3659,0.2232,state house,2020,0
25,20.3,arkansas,8.4,12.4,0.2358893713035451,0.1595501008512529,0.5313,24.98,18.35,17.86,21.01,17.8,40.2,32.96,43.64,20.42,2.98,698.0,55.8,3.1,0.9332,0.0668,25.7,0.238,0.4472,0.1631,0.1517,27037,0.3171,0.243,0.2647,0.1751,0.1371,0.32,0.3419,0.201,state house,2020,0
26,14.5,arkansas,4.3,7.0,0.1787639420958063,0.1290639726073838,0.4689,20.73,18.82,19.48,22.28,18.69,42.4,34.52,42.29,20.93,2.26,672.0,76.3,2.99,0.9842,0.0158,15.1,0.2277,0.4832,0.1806,0.1085,28915,0.3359,0.1531,0.2318,0.2792,0.1089,0.3818,0.3395,0.1699,state house,2020,0
27,8.1,arkansas,7.3,6.6,0.1892350207260394,0.1083092576309508,0.5332,28.28,16.74,21.67,19.65,13.67,37.8,32.17,30.31,35.57,1.94,837.0,85.0,3.31,0.9475,0.0525,9.7,0.17,0.3636,0.2917,0.1747,40745,0.3593,0.1456,0.2157,0.2794,0.1338,0.3381,0.3091,0.219,state house,2020,0
