district,less than highschool,highschool,college or associate,bachelor or higher,state
4,0.2637,0.2522,0.2806,0.2036,connecticut
5,0.1738,0.2674,0.3199,0.2389,connecticut
6,0.2938,0.3334,0.2535,0.1193,connecticut
7,0.1342,0.3316,0.4019,0.1323,connecticut
8,0.0534,0.2569,0.2734,0.4163,connecticut
9,0.0941,0.3328,0.2848,0.2883,connecticut
10,0.1693,0.3329,0.3218,0.176,connecticut
11,0.1134,0.3053,0.2552,0.3262,connecticut
12,0.0906,0.2814,0.3169,0.3111,connecticut
13,0.0509,0.2618,0.2554,0.4319,connecticut
14,0.0383,0.2094,0.2448,0.5075,connecticut
15,0.0928,0.2392,0.2926,0.3754,connecticut
16,0.0262,0.1242,0.2231,0.6264,connecticut
17,0.0334,0.1351,0.2534,0.5781,connecticut
18,0.0574,0.1254,0.1549,0.6623,connecticut
19,0.0302,0.0909,0.1642,0.7147,connecticut
20,0.0943,0.1912,0.2515,0.4631,connecticut
21,0.0432,0.1654,0.2124,0.5789,connecticut
22,0.1127,0.3496,0.2939,0.2438,connecticut
23,0.0384,0.197,0.2619,0.5026,connecticut
24,0.1419,0.354,0.2837,0.2204,connecticut
25,0.2677,0.3671,0.2845,0.0807,connecticut
26,0.1058,0.3378,0.3362,0.2202,connecticut
27,0.072,0.2646,0.3092,0.3542,connecticut
28,0.0547,0.2593,0.2426,0.4435,connecticut
29,0.0611,0.234,0.212,0.4928,connecticut
30,0.0654,0.2498,0.2659,0.4189,connecticut
31,0.0284,0.1372,0.2056,0.6288,connecticut
32,0.0667,0.2414,0.2898,0.4022,connecticut
33,0.0549,0.2346,0.3358,0.3747,connecticut
34,0.0541,0.2639,0.3157,0.3662,connecticut
35,0.0591,0.2348,0.2739,0.4321,connecticut
36,0.0392,0.2296,0.2788,0.4524,connecticut
37,0.0538,0.2231,0.2604,0.4627,connecticut
38,0.0571,0.2818,0.2884,0.3727,connecticut
39,0.1236,0.3189,0.3724,0.1851,connecticut
40,0.0503,0.3116,0.3515,0.2866,connecticut
41,0.0659,0.2276,0.2694,0.437,connecticut
42,0.0705,0.3062,0.36,0.2634,connecticut
43,0.0521,0.2353,0.2685,0.4441,connecticut
44,0.1144,0.3895,0.3328,0.1633,connecticut
45,0.1008,0.3486,0.3824,0.1681,connecticut
46,0.1318,0.3941,0.2945,0.1796,connecticut
47,0.078,0.3539,0.3081,0.2599,connecticut
48,0.0482,0.2577,0.291,0.403,connecticut
49,0.1403,0.3168,0.3819,0.1609,connecticut
