district,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,state
73,24.48,16.14,20.12,23.0,16.25,42.6,california
74,21.33,22.38,18.97,19.22,18.1,39.8,california
75,27.96,19.76,19.65,18.56,14.07,36.5,california
76,25.79,23.09,19.13,17.97,14.02,35.8,california
77,25.5,19.62,21.04,19.47,14.37,38.4,california
78,16.45,31.93,20.44,16.05,15.13,35.8,california
79,24.91,26.14,19.58,16.64,12.75,34.4,california
80,26.13,25.61,19.67,16.68,11.91,33.9,california
1,27.93,22.11,20.12,16.46,13.38,35.0,colorado
2,12.99,41.07,22.09,13.85,10.0,33.3,colorado
3,22.76,22.87,20.15,19.73,14.48,37.8,colorado
4,23.54,27.7,23.5,15.03,10.23,34.5,colorado
5,17.54,37.64,20.46,15.08,9.27,33.1,colorado
6,19.45,21.13,22.61,17.69,19.12,40.5,colorado
7,31.0,24.31,23.84,13.3,7.55,32.4,colorado
8,18.86,31.81,23.53,14.88,10.92,34.7,colorado
9,17.08,30.74,21.64,15.71,14.83,36.2,colorado
10,21.62,36.7,15.24,14.74,11.7,29.5,colorado
11,24.11,17.9,20.27,21.01,16.71,41.2,colorado
12,24.5,17.06,20.88,21.9,15.67,41.1,colorado
13,18.38,24.64,18.6,21.74,16.64,40.8,colorado
14,29.12,20.13,21.34,18.93,10.49,35.6,colorado
15,29.75,25.07,20.94,15.21,9.03,32.5,colorado
16,22.32,26.37,16.27,17.27,17.76,36.2,colorado
17,30.32,30.69,16.3,13.62,9.06,29.4,colorado
18,18.71,26.34,17.55,20.47,16.93,39.2,colorado
19,28.58,13.08,20.73,22.75,14.86,40.6,colorado
20,23.5,23.34,17.0,18.71,17.45,37.6,colorado
21,31.13,29.05,18.33,13.45,8.04,28.7,colorado
22,25.51,15.18,21.54,22.06,15.71,41.2,colorado
23,19.31,23.89,20.05,19.68,17.07,38.9,colorado
24,19.88,24.29,19.33,20.35,16.15,38.6,colorado
25,21.69,13.53,21.21,25.45,18.11,46.3,colorado
26,22.67,21.09,22.64,20.88,12.73,38.1,colorado
27,22.98,17.82,20.49,20.96,17.75,41.2,colorado
28,20.24,25.69,18.7,18.92,16.46,38.0,colorado
29,23.32,22.91,20.25,19.76,13.76,37.6,colorado
30,30.16,21.29,24.23,15.86,8.46,34.0,colorado
31,28.98,22.94,21.24,17.28,9.55,33.8,colorado
32,30.0,23.66,20.32,15.96,10.06,33.0,colorado
33,26.62,19.21,23.27,18.13,12.76,37.9,colorado
34,30.76,25.33,19.54,14.09,10.27,31.4,colorado
35,25.2,22.7,20.49,18.41,13.2,36.2,colorado
36,30.68,21.11,23.05,17.08,8.08,34.0,colorado
37,26.92,18.3,23.51,20.15,11.12,38.1,colorado
38,21.6,16.15,18.83,22.17,21.25,44.7,colorado
39,24.56,12.46,21.69,24.84,16.45,45.0,colorado
40,24.65,23.42,20.52,19.03,12.37,36.2,colorado
41,23.29,24.63,19.9,16.22,15.96,36.4,colorado
42,28.11,27.78,19.87,14.35,9.89,31.8,colorado
43,27.01,16.17,22.32,21.14,13.36,40.4,colorado
44,28.32,20.38,24.01,17.73,9.55,35.9,colorado
45,30.3,15.23,23.17,19.4,11.9,38.1,colorado
46,25.42,18.24,16.43,19.92,19.99,40.7,colorado
47,24.99,19.27,18.23,19.19,18.31,39.5,colorado
48,27.31,18.9,19.82,18.79,15.18,37.7,colorado
49,22.64,15.58,19.02,23.11,19.65,44.3,colorado
50,31.69,28.29,17.99,12.89,9.14,29.0,colorado
51,24.25,18.68,19.2,18.82,19.05,40.0,colorado
52,22.75,27.2,19.47,16.97,13.61,35.0,colorado
53,24.53,39.3,14.65,12.48,9.04,26.5,colorado
54,25.83,17.23,17.81,20.15,18.98,40.6,colorado
55,23.09,20.84,17.23,18.91,19.92,39.9,colorado
56,28.57,17.47,22.72,19.13,12.12,37.6,colorado
57,27.63,19.64,19.57,19.75,13.41,36.6,colorado
58,22.69,16.08,17.11,21.4,22.72,45.1,colorado
59,21.06,20.02,18.19,21.58,19.15,42.0,colorado
60,16.43,16.82,19.3,24.41,23.04,48.1,colorado
61,19.29,20.8,20.95,21.02,17.93,41.1,colorado
62,25.99,17.73,17.38,19.65,19.26,40.0,colorado
63,28.72,19.02,22.12,18.57,11.56,36.2,colorado
64,22.92,17.43,18.48,22.32,18.85,42.5,colorado
65,26.48,19.81,17.72,19.01,16.98,37.8,colorado
1,23.22,27.01,18.42,17.61,13.74,34.9,connecticut
2,24.88,15.92,19.29,23.74,16.17,43.7,connecticut
3,26.93,25.33,22.34,15.03,10.37,33.6,connecticut
4,28.64,28.69,16.16,15.87,10.65,30.6,connecticut
5,25.73,22.82,17.46,19.37,14.62,36.1,connecticut
6,27.45,18.95,21.2,18.33,14.08,38.0,connecticut
7,29.82,27.98,15.11,16.14,10.96,29.7,connecticut
8,20.63,15.62,18.56,26.92,18.27,47.0,connecticut
9,25.51,20.43,18.56,18.56,16.94,37.9,connecticut
10,22.33,20.52,22.32,19.16,15.67,39.9,connecticut
11,25.57,28.27,20.25,17.43,8.47,33.0,connecticut
12,20.86,25.03,17.22,20.81,16.09,38.6,connecticut
13,21.99,20.86,18.46,20.71,17.98,41.8,connecticut
14,25.26,14.75,20.78,22.98,16.23,42.2,connecticut
15,17.93,17.17,16.83,23.92,24.14,48.0,connecticut
16,27.06,10.51,20.21,25.11,17.1,44.5,connecticut
17,25.26,10.43,18.34,24.88,21.09,46.0,connecticut
18,22.2,20.73,15.4,20.12,21.56,41.3,connecticut
19,25.41,13.58,19.0,21.42,20.6,44.4,connecticut
20,23.7,21.95,18.4,19.66,16.3,38.6,connecticut
21,21.6,17.17,18.78,22.75,19.7,44.2,connecticut
22,23.18,19.88,20.41,18.82,17.7,40.6,connecticut
23,17.92,11.31,14.92,27.61,28.24,54.3,connecticut
24,23.77,25.67,15.97,19.41,15.19,35.5,connecticut
25,30.94,22.79,16.36,18.26,11.65,32.3,connecticut
26,24.25,28.63,16.38,15.8,14.94,33.3,connecticut
27,20.13,17.74,18.35,23.55,20.23,45.5,connecticut
28,23.18,15.93,19.91,22.23,18.75,43.7,connecticut
29,17.69,19.06,19.42,19.99,23.85,45.2,connecticut
30,23.9,12.77,18.4,22.98,21.94,47.0,connecticut
