district,household language not english,state
38,8.6,illinois
39,58.7,illinois
40,52.8,illinois
41,21.7,illinois
42,20.1,illinois
43,55.3,illinois
44,50.1,illinois
45,28.7,illinois
46,40.1,illinois
47,19.1,illinois
48,19.1,illinois
49,28.2,illinois
50,12.9,illinois
51,22.0,illinois
52,20.0,illinois
53,30.8,illinois
54,28.4,illinois
55,41.0,illinois
56,37.2,illinois
57,52.9,illinois
58,16.8,illinois
59,46.4,illinois
60,49.7,illinois
61,22.1,illinois
62,31.2,illinois
63,16.2,illinois
64,10.6,illinois
65,15.6,illinois
66,18.8,illinois
67,24.5,illinois
68,11.6,illinois
69,12.6,illinois
70,11.7,illinois
71,7.0,illinois
72,15.2,illinois
73,7.6,illinois
74,3.8,illinois
75,7.9,illinois
76,9.1,illinois
77,62.7,illinois
78,27.2,illinois
79,9.6,illinois
80,13.2,illinois
81,20.9,illinois
82,21.5,illinois
83,51.9,illinois
84,40.9,illinois
85,31.6,illinois
86,31.3,illinois
87,2.7,illinois
88,6.1,illinois
89,3.1,illinois
90,6.7,illinois
91,2.3,illinois
92,6.9,illinois
93,6.1,illinois
94,3.4,illinois
95,2.0,illinois
96,3.8,illinois
97,17.3,illinois
98,26.1,illinois
99,5.6,illinois
100,2.1,illinois
101,2.9,illinois
102,8.9,illinois
103,22.4,illinois
104,9.0,illinois
105,8.2,illinois
106,3.9,illinois
107,3.1,illinois
108,3.5,illinois
109,3.3,illinois
110,3.2,illinois
111,2.8,illinois
112,5.9,illinois
113,7.1,illinois
114,4.1,illinois
115,6.0,illinois
116,3.4,illinois
117,2.9,illinois
118,3.5,illinois
1,27.0,indiana
2,24.6,indiana
3,7.9,indiana
4,5.5,indiana
5,8.5,indiana
6,12.1,indiana
7,11.8,indiana
8,7.6,indiana
9,5.3,indiana
10,5.9,indiana
11,4.7,indiana
12,13.6,indiana
13,4.8,indiana
14,10.4,indiana
15,13.7,indiana
16,3.7,indiana
17,11.1,indiana
18,4.2,indiana
19,10.6,indiana
20,5.9,indiana
