district,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,state,median earnings
49,0.1869,0.5028,0.1899,0.1204,connecticut,22246
50,0.0889,0.2233,0.2879,0.3998,connecticut,43775
51,0.1092,0.3411,0.3157,0.234,connecticut,40742
52,0.0945,0.2898,0.2729,0.3428,connecticut,45498
53,0.0569,0.1714,0.2512,0.5205,connecticut,52595
54,0.202,0.1803,0.2044,0.4133,connecticut,4901
55,0.0444,0.1574,0.3132,0.485,connecticut,56857
56,0.0959,0.3423,0.2594,0.3025,connecticut,41767
57,0.0606,0.2096,0.2704,0.4594,connecticut,56436
58,0.0617,0.3788,0.2956,0.264,connecticut,39864
59,0.0651,0.2684,0.2941,0.3724,connecticut,47763
60,0.0775,0.2798,0.2845,0.3582,connecticut,47807
61,0.0568,0.1664,0.2658,0.511,connecticut,54399
62,0.0716,0.2042,0.2459,0.4783,connecticut,53564
63,0.0881,0.2724,0.3518,0.2877,connecticut,38952
64,0.0856,0.2738,0.2655,0.3751,connecticut,41286
65,0.1031,0.4812,0.2403,0.1753,connecticut,32186
66,0.0691,0.2124,0.2358,0.4828,connecticut,51076
67,0.095,0.2877,0.2438,0.3735,connecticut,42464
68,0.0966,0.2824,0.2991,0.3219,connecticut,42691
69,0.0436,0.1983,0.2128,0.5453,connecticut,54430
70,0.0996,0.2919,0.2796,0.3289,connecticut,42001
71,0.1173,0.3229,0.2226,0.3372,connecticut,38171
72,0.1841,0.4545,0.2129,0.1485,connecticut,30629
73,0.1247,0.3877,0.2775,0.2101,connecticut,38027
74,0.1258,0.3678,0.351,0.1554,connecticut,33211
75,0.1975,0.4734,0.2084,0.1207,connecticut,25501
76,0.0887,0.214,0.2751,0.4221,connecticut,51963
77,0.0725,0.323,0.3281,0.2765,connecticut,45498
78,0.0777,0.288,0.3258,0.3084,connecticut,47818
79,0.1213,0.3568,0.2949,0.227,connecticut,39368
80,0.0576,0.2461,0.2478,0.4485,connecticut,51556
81,0.0896,0.2937,0.2381,0.3787,connecticut,46958
82,0.0773,0.3112,0.2788,0.3328,connecticut,45627
83,0.0542,0.2738,0.3119,0.3601,connecticut,50255
84,0.1106,0.5385,0.2176,0.1332,connecticut,36755
85,0.0428,0.3067,0.3359,0.3146,connecticut,48471
86,0.0532,0.2184,0.2625,0.466,connecticut,54967
87,0.0494,0.232,0.2755,0.4431,connecticut,54595
88,0.0779,0.211,0.2704,0.4407,connecticut,33388
89,0.0781,0.1918,0.2552,0.4749,connecticut,58980
90,0.0603,0.2732,0.253,0.4134,connecticut,52152
91,0.0849,0.24,0.3013,0.3738,connecticut,45446
92,0.1359,0.3853,0.2223,0.2565,connecticut,32165
93,0.1602,0.4168,0.2876,0.1354,connecticut,19252
94,0.0933,0.4036,0.2325,0.2706,connecticut,30652
95,0.2108,0.4224,0.2412,0.1256,connecticut,25832
96,0.1019,0.2826,0.2587,0.3569,connecticut,41821
97,0.1564,0.392,0.2047,0.247,connecticut,32866
98,0.0537,0.1778,0.2202,0.5483,connecticut,54049
99,0.1058,0.3418,0.3056,0.2468,connecticut,41471
100,0.1346,0.3345,0.2145,0.3164,connecticut,38854
101,0.043,0.2081,0.1742,0.5746,connecticut,52952
102,0.0638,0.2475,0.3468,0.3419,connecticut,52580
103,0.0331,0.1303,0.2852,0.5514,connecticut,64375
104,0.1521,0.3258,0.2464,0.2757,connecticut,34390
105,0.0838,0.225,0.3163,0.375,connecticut,47650
106,0.0436,0.2021,0.1842,0.57,connecticut,53541
107,0.0768,0.1985,0.2175,0.5071,connecticut,50904
108,0.0911,0.2466,0.2299,0.4324,connecticut,46665
109,0.1513,0.301,0.2296,0.3181,connecticut,33499
110,0.1767,0.4376,0.2,0.1857,connecticut,30290
111,0.0596,0.1438,0.1483,0.6483,connecticut,74511
112,0.0412,0.1674,0.2,0.5914,connecticut,55123
113,0.0612,0.2293,0.2785,0.431,connecticut,51970
114,0.0757,0.1959,0.2308,0.4976,connecticut,58831
115,0.1751,0.3553,0.2862,0.1834,connecticut,32103
116,0.191,0.3685,0.265,0.1755,connecticut,27440
117,0.0306,0.2484,0.3002,0.4208,connecticut,50396
118,0.0437,0.2448,0.241,0.4705,connecticut,53044
119,0.0417,0.1964,0.2119,0.5499,connecticut,62885
120,0.0654,0.2336,0.2884,0.4126,connecticut,50209
121,0.1205,0.3552,0.2389,0.2854,connecticut,39346
122,0.0398,0.1826,0.2057,0.5719,connecticut,57126
123,0.0517,0.1763,0.1829,0.5892,connecticut,59883
124,0.1684,0.5226,0.2041,0.1049,connecticut,29479
125,0.0321,0.1018,0.0916,0.7746,connecticut,83590
126,0.1184,0.4228,0.2639,0.195,connecticut,35610
127,0.1076,0.4021,0.2993,0.1909,connecticut,31084
128,0.2433,0.5108,0.1559,0.09,connecticut,23462
129,0.1642,0.3519,0.233,0.2509,connecticut,32867
130,0.2301,0.4533,0.1882,0.1284,connecticut,23295
131,0.0613,0.1946,0.2966,0.4475,connecticut,53247
132,0.048,0.1094,0.1347,0.708,connecticut,73656
133,0.0565,0.2202,0.214,0.5092,connecticut,48468
134,0.0488,0.1564,0.1774,0.6174,connecticut,51596
135,0.0477,0.1328,0.1571,0.6624,connecticut,70141
136,0.0263,0.1049,0.1074,0.7614,connecticut,91643
137,0.0845,0.2819,0.2168,0.4167,connecticut,48888
138,0.0672,0.2334,0.2557,0.4437,connecticut,45510
139,0.0845,0.3824,0.274,0.2592,connecticut,40124
140,0.1665,0.3877,0.1788,0.267,connecticut,34570
141,0.0283,0.1192,0.1074,0.7452,connecticut,86863
142,0.067,0.1664,0.1923,0.5744,connecticut,58831
143,0.0549,0.1852,0.1544,0.6056,connecticut,56148
144,0.0595,0.1808,0.1682,0.5916,connecticut,63027
145,0.1167,0.3782,0.2049,0.3002,connecticut,35053
146,0.0646,0.196,0.2158,0.5236,connecticut,59184
147,0.0437,0.1912,0.137,0.6281,connecticut,58876
148,0.1267,0.313,0.2513,0.309,connecticut,36141
149,0.0479,0.1286,0.1174,0.7062,connecticut,77091
150,0.0825,0.1626,0.1559,0.599,connecticut,52983
151,0.0332,0.1202,0.1048,0.7418,connecticut,85400
1,0.15,0.3837,0.2369,0.2294,delaware,35569
2,0.1658,0.4346,0.2492,0.1504,delaware,28714
3,0.254,0.3394,0.2507,0.1558,delaware,26687
4,0.0484,0.2357,0.2909,0.425,delaware,58365
5,0.1497,0.3793,0.2596,0.2114,delaware,35854
6,0.0638,0.2324,0.2633,0.4404,delaware,50621
