district,percent female,state
51,0.5146,illinois
52,0.5039,illinois
53,0.5273,illinois
54,0.5165,illinois
55,0.5124,illinois
56,0.5285,illinois
57,0.5171,illinois
58,0.4795,illinois
59,0.5183,illinois
60,0.5155,illinois
61,0.5053,illinois
62,0.5054,illinois
63,0.5075,illinois
64,0.5089,illinois
65,0.5259,illinois
66,0.5126,illinois
67,0.5284,illinois
68,0.5208,illinois
69,0.5113,illinois
70,0.5085,illinois
71,0.5149,illinois
72,0.5125,illinois
73,0.5113,illinois
74,0.5166,illinois
75,0.4967,illinois
76,0.5099,illinois
77,0.5086,illinois
78,0.5328,illinois
79,0.5188,illinois
80,0.5282,illinois
81,0.5232,illinois
82,0.5198,illinois
83,0.5161,illinois
84,0.5148,illinois
85,0.4942,illinois
86,0.5113,illinois
87,0.5136,illinois
88,0.5143,illinois
89,0.5115,illinois
90,0.487,illinois
91,0.501,illinois
92,0.533,illinois
93,0.4821,illinois
94,0.5181,illinois
95,0.4999,illinois
96,0.5327,illinois
97,0.521,illinois
98,0.5203,illinois
99,0.5302,illinois
100,0.5055,illinois
101,0.5179,illinois
102,0.5159,illinois
103,0.4992,illinois
104,0.5125,illinois
105,0.527,illinois
106,0.5103,illinois
107,0.5015,illinois
108,0.5019,illinois
109,0.4899,illinois
110,0.5205,illinois
111,0.5222,illinois
112,0.5213,illinois
113,0.522,illinois
114,0.538,illinois
115,0.4987,illinois
116,0.484,illinois
117,0.5109,illinois
118,0.4974,illinois
1,0.5241,indiana
2,0.5493,indiana
3,0.5552,indiana
4,0.51,indiana
5,0.5288,indiana
6,0.5172,indiana
7,0.5357,indiana
8,0.5135,indiana
9,0.4561,indiana
10,0.5249,indiana
11,0.5089,indiana
12,0.5243,indiana
13,0.5121,indiana
14,0.5259,indiana
15,0.5071,indiana
16,0.5009,indiana
17,0.5104,indiana
18,0.5147,indiana
19,0.5114,indiana
20,0.5157,indiana
21,0.5141,indiana
22,0.5126,indiana
23,0.4863,indiana
24,0.521,indiana
25,0.5044,indiana
26,0.483,indiana
27,0.5007,indiana
28,0.5141,indiana
29,0.5174,indiana
30,0.5325,indiana
31,0.5306,indiana
32,0.4992,indiana
33,0.5201,indiana
34,0.5306,indiana
35,0.5216,indiana
36,0.5284,indiana
37,0.5149,indiana
38,0.5118,indiana
39,0.528,indiana
40,0.497,indiana
41,0.5046,indiana
42,0.5212,indiana
43,0.5141,indiana
44,0.4761,indiana
45,0.4836,indiana
46,0.4895,indiana
47,0.512,indiana
48,0.5257,indiana
49,0.5076,indiana
50,0.5151,indiana
51,0.4963,indiana
52,0.5105,indiana
53,0.4842,indiana
54,0.489,indiana
55,0.5113,indiana
56,0.5245,indiana
57,0.5124,indiana
58,0.5322,indiana
59,0.5173,indiana
60,0.5079,indiana
61,0.5041,indiana
62,0.5148,indiana
63,0.5117,indiana
64,0.5002,indiana
65,0.4996,indiana
66,0.5286,indiana
67,0.5043,indiana
68,0.503,indiana
69,0.5046,indiana
70,0.5065,indiana
71,0.5272,indiana
72,0.5232,indiana
73,0.5024,indiana
74,0.4851,indiana
75,0.5104,indiana
76,0.5221,indiana
77,0.5354,indiana
78,0.5134,indiana
79,0.5145,indiana
80,0.5417,indiana
81,0.4993,indiana
82,0.5067,indiana
83,0.5266,indiana
84,0.5179,indiana
85,0.5167,indiana
86,0.5368,indiana
87,0.5282,indiana
88,0.521,indiana
89,0.5261,indiana
90,0.5239,indiana
91,0.5057,indiana
92,0.5268,indiana
93,0.53,indiana
94,0.5694,indiana
95,0.5745,indiana
96,0.5373,indiana
97,0.5195,indiana
98,0.5444,indiana
99,0.5418,indiana
100,0.5066,indiana
1,0.506,iowa
2,0.5118,iowa
3,0.4992,iowa
4,0.5091,iowa
5,0.5164,iowa
6,0.5046,iowa
7,0.5146,iowa
8,0.4986,iowa
9,0.4868,iowa
10,0.4964,iowa
11,0.5072,iowa
12,0.5157,iowa
13,0.5157,iowa
14,0.5131,iowa
15,0.5085,iowa
16,0.5309,iowa
17,0.5098,iowa
18,0.5119,iowa
19,0.5001,iowa
20,0.5214,iowa
21,0.5124,iowa
22,0.5081,iowa
23,0.5072,iowa
24,0.5029,iowa
25,0.5089,iowa
26,0.5267,iowa
27,0.5134,iowa
28,0.4675,iowa
29,0.5186,iowa
30,0.5219,iowa
31,0.513,iowa
32,0.5126,iowa
33,0.5281,iowa
34,0.5234,iowa
35,0.5112,iowa
36,0.5237,iowa
37,0.5029,iowa
38,0.5022,iowa
39,0.5239,iowa
40,0.5135,iowa
41,0.5451,iowa
42,0.5179,iowa
43,0.5075,iowa
44,0.5225,iowa
45,0.488,iowa
46,0.4582,iowa
47,0.5134,iowa
48,0.5037,iowa
49,0.5138,iowa
50,0.515,iowa
51,0.5025,iowa
52,0.5047,iowa
53,0.5175,iowa
54,0.5184,iowa
55,0.5083,iowa
56,0.5008,iowa
57,0.4921,iowa
58,0.5047,iowa
59,0.54,iowa
60,0.5107,iowa
61,0.5171,iowa
62,0.51,iowa
63,0.5146,iowa
64,0.5082,iowa
65,0.5143,iowa
66,0.5236,iowa
67,0.4926,iowa
68,0.5285,iowa
69,0.5176,iowa
70,0.5138,iowa
71,0.5079,iowa
72,0.5003,iowa
73,0.5127,iowa
74,0.4987,iowa
75,0.5004,iowa
76,0.5219,iowa
77,0.5343,iowa
78,0.5094,iowa
