district,less than highschool,highschool,college or associate,bachelor or higher,state
117,0.0721,0.3186,0.2709,0.3383,connecticut
118,0.0578,0.3156,0.2655,0.3611,connecticut
119,0.0577,0.2213,0.2698,0.4513,connecticut
120,0.0622,0.2916,0.2912,0.355,connecticut
121,0.1262,0.3574,0.2766,0.2398,connecticut
122,0.0603,0.2703,0.2489,0.4205,connecticut
123,0.0652,0.2056,0.2236,0.5056,connecticut
124,0.2518,0.3639,0.2727,0.1116,connecticut
125,0.0308,0.0916,0.1378,0.7399,connecticut
126,0.1305,0.3351,0.3653,0.1691,connecticut
127,0.1827,0.2946,0.3074,0.2153,connecticut
128,0.3122,0.391,0.222,0.0748,connecticut
129,0.2306,0.258,0.2574,0.254,connecticut
130,0.2568,0.3167,0.267,0.1595,connecticut
131,0.08,0.2851,0.2825,0.3524,connecticut
132,0.0419,0.1611,0.1816,0.6154,connecticut
133,0.0567,0.2183,0.2539,0.4711,connecticut
134,0.0541,0.185,0.2617,0.4992,connecticut
135,0.0432,0.1207,0.1733,0.6628,connecticut
136,0.0263,0.112,0.1301,0.7316,connecticut
137,0.1073,0.2527,0.2516,0.3883,connecticut
138,0.0882,0.241,0.2782,0.3926,connecticut
139,0.097,0.3679,0.3313,0.2037,connecticut
140,0.2287,0.2909,0.2443,0.236,connecticut
141,0.0376,0.1155,0.1493,0.6976,connecticut
142,0.0601,0.18,0.2498,0.5102,connecticut
143,0.0556,0.1466,0.2175,0.5803,connecticut
144,0.0667,0.2219,0.2342,0.4771,connecticut
145,0.215,0.2916,0.255,0.2383,connecticut
146,0.0801,0.2033,0.1613,0.5553,connecticut
147,0.0435,0.1669,0.2073,0.5823,connecticut
148,0.1727,0.2346,0.2819,0.3108,connecticut
149,0.0469,0.1401,0.158,0.655,connecticut
150,0.0598,0.1922,0.1703,0.5778,connecticut
151,0.0508,0.1104,0.174,0.6648,connecticut
1,0.1577,0.3563,0.2548,0.2312,delaware
2,0.2271,0.3904,0.236,0.1465,delaware
3,0.1822,0.408,0.2359,0.1739,delaware
4,0.0877,0.1687,0.1822,0.5614,delaware
5,0.1304,0.2699,0.3541,0.2457,delaware
6,0.0646,0.2416,0.2392,0.4546,delaware
7,0.0664,0.3102,0.2862,0.3372,delaware
8,0.0775,0.2662,0.3381,0.3182,delaware
9,0.1105,0.3332,0.2694,0.2868,delaware
10,0.0586,0.2258,0.2494,0.4662,delaware
11,0.1934,0.4007,0.2593,0.1466,delaware
12,0.0442,0.1415,0.1905,0.6238,delaware
13,0.1591,0.3848,0.2687,0.1873,delaware
14,0.0677,0.2828,0.2531,0.3964,delaware
15,0.0792,0.3294,0.3016,0.2897,delaware
16,0.176,0.4011,0.2881,0.1348,delaware
17,0.1298,0.3949,0.3025,0.1729,delaware
18,0.0846,0.3276,0.3044,0.2833,delaware
19,0.1505,0.396,0.2656,0.1879,delaware
20,0.0842,0.2981,0.2844,0.3333,delaware
21,0.0653,0.2579,0.2877,0.3891,delaware
22,0.0321,0.1641,0.2328,0.571,delaware
23,0.0285,0.1877,0.3852,0.3986,delaware
24,0.1279,0.3539,0.2884,0.2298,delaware
25,0.0504,0.2032,0.3805,0.3659,delaware
26,0.1237,0.2454,0.3258,0.305,delaware
27,0.0432,0.2829,0.282,0.3919,delaware
28,0.1572,0.3676,0.3135,0.1617,delaware
29,0.1478,0.3307,0.2705,0.2509,delaware
30,0.1558,0.4048,0.2916,0.1477,delaware
31,0.0936,0.2161,0.431,0.2593,delaware
32,0.1181,0.301,0.3733,0.2076,delaware
33,0.1497,0.3543,0.2931,0.2028,delaware
34,0.0818,0.3011,0.3431,0.2741,delaware
35,0.2102,0.3865,0.28,0.1233,delaware
36,0.1407,0.3397,0.3101,0.2095,delaware
37,0.1755,0.409,0.2577,0.1578,delaware
38,0.0729,0.3012,0.3038,0.3221,delaware
39,0.1848,0.3566,0.3024,0.1562,delaware
40,0.1599,0.4143,0.2902,0.1356,delaware
41,0.2049,0.3917,0.267,0.1363,delaware
1,0.1084,0.2904,0.4032,0.198,florida
2,0.0937,0.2699,0.3734,0.2631,florida
3,0.1143,0.3002,0.3666,0.2189,florida
4,0.0859,0.2572,0.3742,0.2827,florida
5,0.1959,0.3373,0.3049,0.1619,florida
6,0.116,0.3027,0.3671,0.2142,florida
7,0.1955,0.374,0.2989,0.1317,florida
8,0.1297,0.2363,0.4204,0.2136,florida
9,0.0488,0.1595,0.3259,0.4658,florida
10,0.1812,0.3861,0.3061,0.1267,florida
11,0.0828,0.2997,0.3225,0.295,florida
12,0.0871,0.2543,0.3456,0.3129,florida
13,0.1691,0.3377,0.327,0.1662,florida
14,0.1712,0.3465,0.3422,0.1402,florida
15,0.1266,0.3075,0.3548,0.2111,florida
16,0.0757,0.2129,0.3249,0.3865,florida
17,0.0545,0.2072,0.317,0.4214,florida
18,0.0881,0.2973,0.377,0.2377,florida
19,0.209,0.3768,0.2962,0.118,florida
20,0.1299,0.2876,0.3471,0.2354,florida
21,0.0754,0.1984,0.3818,0.3443,florida
22,0.1469,0.3571,0.3202,0.1758,florida
23,0.1402,0.3981,0.3114,0.1504,florida
24,0.1022,0.3223,0.3464,0.229,florida
25,0.0894,0.2975,0.3403,0.2728,florida
26,0.1254,0.3412,0.3596,0.1737,florida
27,0.1167,0.3581,0.3572,0.168,florida
28,0.0742,0.2372,0.3764,0.3122,florida
29,0.0737,0.2273,0.3469,0.3521,florida
30,0.0758,0.2464,0.3439,0.334,florida
31,0.1431,0.3263,0.3224,0.2082,florida
32,0.1249,0.313,0.3417,0.2204,florida
33,0.1065,0.3303,0.3061,0.2571,florida
34,0.1389,0.3779,0.3137,0.1694,florida
35,0.1319,0.3692,0.3476,0.1513,florida
36,0.1424,0.3911,0.3306,0.1358,florida
37,0.0992,0.2957,0.3448,0.2603,florida
38,0.1224,0.3179,0.3244,0.2354,florida
39,0.147,0.3573,0.3041,0.1916,florida
40,0.1301,0.347,0.3123,0.2106,florida
41,0.1853,0.352,0.2932,0.1695,florida
42,0.1596,0.3424,0.335,0.163,florida
43,0.1647,0.3519,0.3413,0.1422,florida
44,0.067,0.1897,0.2982,0.4451,florida
45,0.1799,0.3229,0.3194,0.1777,florida
46,0.1966,0.314,0.3145,0.1748,florida
47,0.0749,0.2286,0.3006,0.3959,florida
48,0.1583,0.3142,0.3423,0.1851,florida
49,0.0937,0.2027,0.449,0.2545,florida
50,0.0842,0.2494,0.3474,0.319,florida
51,0.0976,0.2858,0.3685,0.2481,florida
52,0.078,0.2501,0.3427,0.3291,florida
53,0.1079,0.3281,0.355,0.2091,florida
54,0.1316,0.3155,0.3122,0.2407,florida
55,0.2128,0.3718,0.2813,0.1342,florida
56,0.2289,0.383,0.2436,0.1446,florida
57,0.1092,0.2556,0.3291,0.3061,florida
58,0.178,0.3215,0.2954,0.2051,florida
59,0.0956,0.2842,0.354,0.2662,florida
60,0.0797,0.2088,0.2855,0.426,florida
61,0.2186,0.3556,0.2764,0.1493,florida
62,0.175,0.3418,0.2974,0.1858,florida
63,0.0843,0.2018,0.3468,0.3671,florida
64,0.0565,0.2163,0.3072,0.4199,florida
