district,percent of tot. population in poverty,state
31,9.1,georgia
32,18.9,georgia
33,19.5,georgia
34,8.7,georgia
35,8.1,georgia
36,2.6,georgia
37,11.1,georgia
38,9.2,georgia
39,10.7,georgia
40,4.5,georgia
41,13.0,georgia
42,18.7,georgia
43,6.2,georgia
44,9.6,georgia
45,3.7,georgia
46,3.5,georgia
47,3.7,georgia
48,7.6,georgia
49,5.0,georgia
50,4.9,georgia
51,6.4,georgia
52,6.0,georgia
53,17.7,georgia
54,10.2,georgia
55,16.4,georgia
56,30.1,georgia
57,18.7,georgia
58,24.6,georgia
59,22.5,georgia
60,23.0,georgia
61,13.6,georgia
62,10.9,georgia
63,9.8,georgia
64,10.0,georgia
65,13.6,georgia
66,11.1,georgia
67,9.5,georgia
68,11.4,georgia
69,15.0,georgia
70,10.1,georgia
71,5.0,georgia
72,5.4,georgia
73,13.3,georgia
74,20.5,georgia
75,18.4,georgia
76,10.2,georgia
77,18.7,georgia
78,12.6,georgia
79,9.1,georgia
80,8.4,georgia
81,16.8,georgia
82,12.9,georgia
83,14.6,georgia
84,11.5,georgia
85,19.1,georgia
86,15.9,georgia
87,16.5,georgia
88,15.4,georgia
89,12.5,georgia
90,12.1,georgia
91,13.0,georgia
92,19.6,georgia
93,6.2,georgia
94,12.8,georgia
95,7.8,georgia
96,16.5,georgia
97,8.2,georgia
98,9.1,georgia
99,18.6,georgia
100,15.5,georgia
101,11.1,georgia
102,7.6,georgia
103,4.9,georgia
104,9.7,georgia
105,10.2,georgia
106,7.1,georgia
107,10.4,georgia
108,13.8,georgia
109,6.5,georgia
110,13.8,georgia
111,8.8,georgia
112,12.0,georgia
113,15.7,georgia
114,8.3,georgia
115,14.0,georgia
116,11.8,georgia
117,15.7,georgia
118,26.9,georgia
119,19.3,georgia
120,17.1,georgia
121,11.3,georgia
122,4.0,georgia
123,8.9,georgia
124,30.6,georgia
125,30.4,georgia
126,17.2,georgia
127,17.4,georgia
128,22.0,georgia
129,16.7,georgia
130,16.1,georgia
131,15.7,georgia
132,21.9,georgia
133,11.6,georgia
134,9.0,georgia
135,31.5,georgia
136,22.2,georgia
137,19.3,georgia
138,20.7,georgia
139,27.3,georgia
140,17.8,georgia
141,13.3,georgia
142,29.2,georgia
143,32.7,georgia
144,15.4,georgia
145,23.1,georgia
146,6.5,georgia
147,15.0,georgia
148,22.4,georgia
149,23.0,georgia
150,27.9,georgia
151,27.2,georgia
152,15.1,georgia
153,28.4,georgia
154,26.3,georgia
155,22.0,georgia
156,21.9,georgia
157,20.3,georgia
158,25.0,georgia
159,14.2,georgia
160,20.9,georgia
161,4.8,georgia
162,18.7,georgia
163,26.4,georgia
164,11.3,georgia
165,18.4,georgia
166,4.7,georgia
167,15.1,georgia
168,15.0,georgia
169,22.0,georgia
170,24.5,georgia
171,24.9,georgia
172,24.5,georgia
173,18.9,georgia
174,20.8,georgia
175,16.4,georgia
176,21.2,georgia
177,33.3,georgia
178,17.6,georgia
179,19.9,georgia
180,15.4,georgia
1,12.7,hawaii
2,21.1,hawaii
3,15.3,hawaii
4,18.7,hawaii
5,13.5,hawaii
9,7.4,hawaii
10,8.3,hawaii
11,9.0,hawaii
13,12.4,hawaii
14,9.5,hawaii
15,5.0,hawaii
16,9.6,hawaii
17,3.2,hawaii
18,2.9,hawaii
19,5.2,hawaii
20,9.4,hawaii
22,13.0,hawaii
24,9.7,hawaii
30,10.7,hawaii
33,2.1,hawaii
34,4.6,hawaii
35,7.4,hawaii
36,3.9,hawaii
37,4.2,hawaii
39,6.5,hawaii
40,6.9,hawaii
41,5.4,hawaii
43,12.5,hawaii
44,27.7,hawaii
45,8.1,hawaii
47,7.7,hawaii
49,3.8,hawaii
50,6.8,hawaii
51,4.8,hawaii
1,17.8,illinois
2,17.7,illinois
3,12.4,illinois
4,14.2,illinois
5,22.1,illinois
6,23.2,illinois
7,7.6,illinois
8,19.2,illinois
9,25.5,illinois
10,23.0,illinois
11,6.9,illinois
12,9.2,illinois
13,15.8,illinois
14,18.1,illinois
15,8.1,illinois
16,13.3,illinois
17,6.8,illinois
18,8.4,illinois
19,7.8,illinois
20,7.3,illinois
21,17.7,illinois
22,12.2,illinois
23,13.5,illinois
24,13.8,illinois
25,25.1,illinois
26,21.3,illinois
27,13.7,illinois
28,17.6,illinois
29,16.6,illinois
30,18.7,illinois
31,19.0,illinois
32,21.0,illinois
33,20.8,illinois
34,15.3,illinois
35,7.2,illinois
36,9.5,illinois
37,3.4,illinois
38,10.5,illinois
39,13.4,illinois
40,11.0,illinois
41,4.4,illinois
42,4.6,illinois
43,13.7,illinois
44,8.0,illinois
45,4.8,illinois
46,10.1,illinois
47,4.6,illinois
48,5.4,illinois
49,5.7,illinois
50,4.0,illinois
51,3.2,illinois
52,5.1,illinois
53,4.6,illinois
54,5.3,illinois
55,8.1,illinois
56,5.4,illinois
57,9.2,illinois
58,5.7,illinois
59,7.7,illinois
60,16.1,illinois
61,7.1,illinois
62,6.8,illinois
63,9.8,illinois
64,6.2,illinois
65,5.4,illinois
66,4.0,illinois
67,27.7,illinois
68,11.6,illinois
69,6.8,illinois
70,14.5,illinois
71,9.1,illinois
72,16.6,illinois
73,7.1,illinois
74,12.0,illinois
75,7.4,illinois
76,13.6,illinois
77,13.2,illinois
78,10.9,illinois
79,13.1,illinois
80,12.6,illinois
81,4.9,illinois
82,5.0,illinois
83,14.0,illinois
84,6.7,illinois
85,8.3,illinois
86,15.7,illinois
87,10.6,illinois
88,11.1,illinois
89,11.5,illinois
90,10.5,illinois
91,11.8,illinois
92,22.9,illinois
93,17.7,illinois
94,12.2,illinois
95,12.8,illinois
96,23.9,illinois
97,2.8,illinois
98,6.3,illinois
99,9.2,illinois
100,11.9,illinois
101,7.4,illinois
102,9.5,illinois
103,29.4,illinois
104,16.3,illinois
105,14.7,illinois
106,12.0,illinois
107,14.8,illinois
108,5.8,illinois
109,12.8,illinois
110,15.9,illinois
111,14.8,illinois
112,10.7,illinois
113,15.3,illinois
114,18.4,illinois
115,16.8,illinois
116,11.6,illinois
117,15.6,illinois
118,20.7,illinois
1,22.5,indiana
2,28.3,indiana
3,27.5,indiana
4,8.2,indiana
5,13.7,indiana
6,23.4,indiana
7,14.2,indiana
8,9.3,indiana
9,15.0,indiana
10,13.1,indiana
11,5.0,indiana
12,8.6,indiana
13,10.7,indiana
14,18.5,indiana
15,5.0,indiana
16,10.0,indiana
17,13.0,indiana
18,11.3,indiana
19,6.1,indiana
20,15.4,indiana
21,13.0,indiana
22,7.8,indiana
23,15.4,indiana
24,4.3,indiana
25,8.5,indiana
26,19.7,indiana
27,25.5,indiana
28,4.6,indiana
29,5.7,indiana
30,14.8,indiana
31,18.2,indiana
32,9.2,indiana
33,12.9,indiana
34,31.5,indiana
35,10.8,indiana
36,20.6,indiana
37,3.4,indiana
38,9.6,indiana
39,3.3,indiana
40,5.0,indiana
41,11.0,indiana
42,13.0,indiana
43,25.3,indiana
44,8.9,indiana
45,14.2,indiana
46,10.4,indiana
47,8.5,indiana
48,13.2,indiana
49,9.2,indiana
50,11.8,indiana
51,7.7,indiana
52,8.5,indiana
53,8.0,indiana
54,13.3,indiana
55,13.8,indiana
56,17.0,indiana
57,9.0,indiana
58,7.2,indiana
59,13.2,indiana
60,14.3,indiana
61,36.3,indiana
62,12.6,indiana
63,11.2,indiana
64,8.2,indiana
65,9.2,indiana
66,14.2,indiana
67,12.4,indiana
68,7.6,indiana
69,13.0,indiana
70,6.8,indiana
71,11.8,indiana
72,10.8,indiana
73,13.2,indiana
74,11.1,indiana
75,7.3,indiana
76,13.0,indiana
77,23.9,indiana
78,10.8,indiana
79,12.7,indiana
80,27.7,indiana
81,14.4,indiana
82,7.3,indiana
83,6.4,indiana
84,8.1,indiana
85,9.1,indiana
86,8.0,indiana
87,9.5,indiana
88,3.8,indiana
89,10.6,indiana
90,5.4,indiana
91,14.5,indiana
92,15.2,indiana
93,9.0,indiana
94,16.5,indiana
95,22.2,indiana
96,21.6,indiana
97,22.9,indiana
98,27.2,indiana
99,25.8,indiana
100,22.3,indiana
1,7.5,iowa
2,8.4,iowa
3,10.5,iowa
4,5.5,iowa
5,7.0,iowa
6,8.5,iowa
7,10.0,iowa
8,11.4,iowa
9,14.8,iowa
10,12.0,iowa
11,10.7,iowa
12,9.1,iowa
13,13.1,iowa
14,17.1,iowa
15,14.0,iowa
16,12.4,iowa
17,11.1,iowa
18,13.7,iowa
19,3.6,iowa
20,10.7,iowa
21,11.6,iowa
22,5.3,iowa
23,8.4,iowa
24,11.0,iowa
25,5.4,iowa
26,7.8,iowa
27,17.0,iowa
28,8.0,iowa
29,10.0,iowa
30,6.3,iowa
31,11.2,iowa
32,19.6,iowa
33,15.5,iowa
34,14.9,iowa
35,26.2,iowa
36,8.4,iowa
37,3.8,iowa
38,6.8,iowa
39,5.3,iowa
40,7.4,iowa
41,13.4,iowa
42,7.8,iowa
43,5.3,iowa
44,4.8,iowa
45,27.4,iowa
46,25.0,iowa
47,8.1,iowa
48,7.2,iowa
49,8.3,iowa
50,7.9,iowa
51,7.4,iowa
52,10.0,iowa
53,10.5,iowa
54,11.8,iowa
55,9.5,iowa
56,12.2,iowa
57,4.7,iowa
58,11.8,iowa
59,17.7,iowa
60,11.5,iowa
61,13.4,iowa
62,23.1,iowa
63,6.9,iowa
64,9.2,iowa
65,14.8,iowa
66,9.0,iowa
67,5.1,iowa
68,8.4,iowa
69,10.8,iowa
70,10.8,iowa
71,13.1,iowa
72,10.2,iowa
73,6.3,iowa
74,15.9,iowa
75,8.6,iowa
76,10.0,iowa
77,6.3,iowa
78,9.6,iowa
