district,percent owner-occupied housing units,state
83,50.5,kansas
84,46.8,kansas
85,60.1,kansas
86,49.3,kansas
87,62.9,kansas
88,51.0,kansas
89,58.3,kansas
90,83.6,kansas
91,86.6,kansas
92,57.4,kansas
93,83.2,kansas
94,86.6,kansas
95,44.3,kansas
96,59.4,kansas
97,77.2,kansas
98,69.6,kansas
99,86.8,kansas
100,78.4,kansas
101,87.4,kansas
102,52.3,kansas
103,37.5,kansas
104,70.2,kansas
105,53.2,kansas
106,77.6,kansas
107,75.7,kansas
108,73.3,kansas
109,77.7,kansas
110,76.8,kansas
111,60.9,kansas
112,65.9,kansas
113,74.5,kansas
114,75.8,kansas
115,70.5,kansas
116,73.0,kansas
117,73.6,kansas
118,76.8,kansas
119,57.1,kansas
120,71.5,kansas
121,84.8,kansas
122,66.7,kansas
123,61.3,kansas
124,75.6,kansas
125,68.4,kansas
1,73.2,kentucky
2,75.4,kentucky
3,60.9,kentucky
4,73.2,kentucky
5,67.3,kentucky
6,79.4,kentucky
7,69.9,kentucky
8,45.0,kentucky
9,59.7,kentucky
10,73.6,kentucky
11,60.8,kentucky
12,73.8,kentucky
13,57.8,kentucky
14,81.2,kentucky
15,77.3,kentucky
16,69.1,kentucky
17,72.3,kentucky
18,75.5,kentucky
19,63.9,kentucky
20,41.9,kentucky
21,74.5,kentucky
22,68.3,kentucky
23,67.1,kentucky
24,74.0,kentucky
25,60.7,kentucky
26,75.7,kentucky
27,64.2,kentucky
28,73.6,kentucky
29,84.7,kentucky
30,53.3,kentucky
31,66.2,kentucky
32,54.3,kentucky
33,76.5,kentucky
34,67.6,kentucky
35,65.1,kentucky
36,79.3,kentucky
37,57.4,kentucky
38,61.0,kentucky
39,58.7,kentucky
40,42.6,kentucky
41,32.4,kentucky
42,39.6,kentucky
43,49.9,kentucky
44,70.5,kentucky
45,74.0,kentucky
46,60.6,kentucky
47,68.2,kentucky
48,78.6,kentucky
49,81.7,kentucky
50,76.4,kentucky
51,68.7,kentucky
52,69.2,kentucky
53,79.9,kentucky
54,69.8,kentucky
55,72.3,kentucky
56,63.3,kentucky
57,61.2,kentucky
58,68.4,kentucky
59,84.8,kentucky
60,76.7,kentucky
61,77.8,kentucky
62,69.2,kentucky
63,66.7,kentucky
64,82.8,kentucky
65,46.0,kentucky
66,81.9,kentucky
67,55.9,kentucky
68,77.5,kentucky
69,56.0,kentucky
70,70.5,kentucky
71,77.5,kentucky
72,67.5,kentucky
73,65.5,kentucky
74,67.8,kentucky
75,36.8,kentucky
76,51.2,kentucky
77,47.3,kentucky
78,69.9,kentucky
79,39.7,kentucky
80,66.6,kentucky
81,45.7,kentucky
82,67.6,kentucky
83,74.8,kentucky
84,70.0,kentucky
85,76.6,kentucky
86,68.7,kentucky
87,68.6,kentucky
88,74.4,kentucky
89,71.1,kentucky
90,71.2,kentucky
91,72.9,kentucky
92,74.9,kentucky
93,75.9,kentucky
94,70.6,kentucky
95,69.9,kentucky
96,77.2,kentucky
97,72.0,kentucky
98,76.7,kentucky
99,68.2,kentucky
100,69.0,kentucky
1,63.1,maine
2,82.0,maine
3,76.1,maine
4,86.3,maine
5,88.2,maine
6,73.2,maine
7,81.5,maine
8,73.7,maine
9,84.3,maine
10,86.3,maine
11,59.3,maine
