district,non-white,black/afroamerican,state
44,0.18311565398447852,0.04277872420972932,kansas
45,0.13407905108667093,0.024698772568597274,kansas
46,0.15237792269763004,0.03823763321138858,kansas
47,0.04370574173469848,0.0050065400748725815,kansas
48,0.21292328375766742,0.042853541719183263,kansas
49,0.1610858112331458,0.046120189302616306,kansas
50,0.06609033931272963,0.012967365463583316,kansas
51,0.06948538701254948,0.011917796681546366,kansas
52,0.11201248049921997,0.026298194784934253,kansas
53,0.16465793049042382,0.08226322478853486,kansas
54,0.06562176282484349,0.02125838850605774,kansas
55,0.20706579412805093,0.08312698974177574,kansas
56,0.18157397691500524,0.07836306400839455,kansas
57,0.22771490038350015,0.09872790197362268,kansas
58,0.3322786200834981,0.1992089650626236,kansas
59,0.07547341174333591,0.015121929067708097,kansas
60,0.11635822165496702,0.027568602425015954,kansas
61,0.09296438547486034,0.004146298882681565,kansas
62,0.0795141051882175,0.011301948918750556,kansas
63,0.0936380918696671,0.04124850789159556,kansas
64,0.14755989352262644,0.08078970718722271,kansas
65,0.3162479912035862,0.1646367250274888,kansas
66,0.16450421161519138,0.04938672971774789,kansas
67,0.16095227246839047,0.05361278809279721,kansas
68,0.17299224156007548,0.10333403229188509,kansas
69,0.16526978661713407,0.04104562134734744,kansas
70,0.04452765496706668,0.004601642154651268,kansas
71,0.09232524463556979,0.030935977884066875,kansas
72,0.07441595940152244,0.02239916003149882,kansas
73,0.053642010163749296,0.009642531381661816,kansas
74,0.04873956999690963,0.00807911350492252,kansas
75,0.07194754563175616,0.038188906609959244,kansas
76,0.06958970233306516,0.012648609993742737,kansas
77,0.05307286714495635,0.008687008384475755,kansas
78,0.11447940649782554,0.032361217702737276,kansas
79,0.10688186505267877,0.02757229320780094,kansas
80,0.11995945529064386,0.03071702437089595,kansas
81,0.23509243989237044,0.07668605155802448,kansas
82,0.0809112668832279,0.01765259018635664,kansas
83,0.3375288532729411,0.23387483123557337,kansas
84,0.4780837687062782,0.37102629947755245,kansas
85,0.19537695009393122,0.09993465653843012,kansas
86,0.20924459661887437,0.08701048576931307,kansas
87,0.24359307359307358,0.10251082251082251,kansas
88,0.4465664200707623,0.18635413316178837,kansas
89,0.48985149568103487,0.35785711246329943,kansas
90,0.049903371269057334,0.004638179085248014,kansas
91,0.10870876044448273,0.012662589370316134,kansas
92,0.14324046330664997,0.034211350118509905,kansas
93,0.04451163181321911,0.0042412026539010664,kansas
94,0.08421190778249267,0.025985388687169167,kansas
95,0.18394691780821917,0.05526541095890411,kansas
96,0.1608947581188519,0.06068364551048826,kansas
97,0.18444960912740332,0.06397633636171561,kansas
98,0.14135987317245025,0.03492161352827197,kansas
99,0.09854198089492207,0.026227585051114465,kansas
100,0.0782631193135268,0.008925876417575784,kansas
101,0.04821306624174824,0.0024584566355565674,kansas
102,0.13199708766970747,0.05563407426442246,kansas
103,0.2864301662118581,0.0928801786157281,kansas
104,0.05223846400586537,0.017916876689731017,kansas
105,0.16244698624855416,0.05346356509446087,kansas
106,0.030058177117000647,0.0033705790008311015,kansas
107,0.038538650033415014,0.005480062374693695,kansas
108,0.09522529785899848,0.02615784287377945,kansas
109,0.028559506699429738,0.00584171727942881,kansas
110,0.04812735805650133,0.012192877519094506,kansas
111,0.0532200537009578,0.011902376467759388,kansas
112,0.09038275972981666,0.015393098377980977,kansas
113,0.06322191109555478,0.008050402520126006,kansas
114,0.052139329574756345,0.01315501944845068,kansas
115,0.06499353630811751,0.01052021575357732,kansas
116,0.044238020785431806,0.005610227168214844,kansas
117,0.05517179105151474,0.018736737550228002,kansas
118,0.04125068070430205,0.0034035215102559448,kansas
119,0.13340095254895043,0.028620568001411183,kansas
120,0.056215254614187235,0.008316655548143207,kansas
121,0.12248614089750334,0.03641807955327156,kansas
122,0.18979518180997926,0.007759631868627628,kansas
123,0.26535828784334115,0.03548219391733819,kansas
124,0.16131249713578663,0.0020164062141973327,kansas
125,0.40466278101582015,0.04347254480915027,kansas
1,0.11057833447499756,0.08479303258635874,kentucky
2,0.08336850002344447,0.04027758240727716,kentucky
3,0.1881290633277149,0.14998796051047436,kentucky
4,0.07466534457114526,0.0470252850768468,kentucky
5,0.08149823259490196,0.03883900147100797,kentucky
6,0.03273413495270123,0.01620980814361406,kentucky
7,0.09307033130159016,0.06362879827264344,kentucky
8,0.31583142791214786,0.23981036688972332,kentucky
9,0.17309761345852895,0.12199237089201878,kentucky
10,0.1487477755110899,0.09145362211901559,kentucky
11,0.12110571869478676,0.07566032250128597,kentucky
12,0.061726512114345475,0.03196356981000523,kentucky
13,0.13275250370503436,0.07982664930165716,kentucky
14,0.03435881407394178,0.013618503304161457,kentucky
15,0.08418425752094875,0.05432941068730253,kentucky
16,0.10245110883494915,0.06462447297587004,kentucky
17,0.0849181588956793,0.027650754305739562,kentucky
18,0.06461345649499849,0.019611483742196022,kentucky
19,0.15940240337772005,0.09124174515535347,kentucky
20,0.24067721096012476,0.1289374025395411,kentucky
21,0.05335311146733019,0.031509438476445675,kentucky
22,0.08200355633558876,0.05272152044892964,kentucky
23,0.07154486459217134,0.040886055630718426,kentucky
24,0.08134623550182135,0.051780007598274745,kentucky
25,0.13405989517190423,0.0687847791452123,kentucky
26,0.09951705942852032,0.05853418593212002,kentucky
27,0.16170733396431128,0.08753664673699763,kentucky
28,0.10839414294689026,0.07318900111148698,kentucky
29,0.12387392498127936,0.07994281694615263,kentucky
30,0.45566436298810714,0.3545385723705097,kentucky
31,0.22343727952589248,0.1599877710361695,kentucky
32,0.1696255686457483,0.0731132625685291,kentucky
33,0.1624938844100317,0.08874518729659016,kentucky
34,0.06776901788413683,0.03155887346217354,kentucky
35,0.13663183336887752,0.09059027037273998,kentucky
